Protein,Encoding,Model,Acquisition,Timestep,Mean,Std
GB1,AA,Boosting Ensemble,GREEDY,101,0.44000804,0.019464275
GB1,AA,Boosting Ensemble,GREEDY,102,0.4528317,0.020005072
GB1,AA,Boosting Ensemble,GREEDY,103,0.45817798,0.019981617
GB1,AA,Boosting Ensemble,GREEDY,104,0.4616629,0.020218529
GB1,AA,Boosting Ensemble,GREEDY,105,0.46690696,0.020518092
GB1,AA,Boosting Ensemble,GREEDY,106,0.482791,0.019844726
GB1,AA,Boosting Ensemble,GREEDY,107,0.48730886,0.019819431
GB1,AA,Boosting Ensemble,GREEDY,108,0.4913342,0.019629285
GB1,AA,Boosting Ensemble,GREEDY,109,0.4957657,0.01966689
GB1,AA,Boosting Ensemble,GREEDY,110,0.50103664,0.019119944
GB1,AA,Boosting Ensemble,GREEDY,111,0.51036215,0.019319627
GB1,AA,Boosting Ensemble,GREEDY,112,0.513213,0.019100297
GB1,AA,Boosting Ensemble,GREEDY,113,0.5182189,0.019431308
GB1,AA,Boosting Ensemble,GREEDY,114,0.52534246,0.020231683
GB1,AA,Boosting Ensemble,GREEDY,115,0.5310799,0.020288311
GB1,AA,Boosting Ensemble,GREEDY,116,0.5360489,0.020250412
GB1,AA,Boosting Ensemble,GREEDY,117,0.5416075,0.020537596
GB1,AA,Boosting Ensemble,GREEDY,118,0.5473366,0.02115754
GB1,AA,Boosting Ensemble,GREEDY,119,0.5526426,0.020697718
GB1,AA,Boosting Ensemble,GREEDY,120,0.5536892,0.020600542
GB1,AA,Boosting Ensemble,GREEDY,121,0.5629517,0.019800402
GB1,AA,Boosting Ensemble,GREEDY,122,0.56638205,0.020139506
GB1,AA,Boosting Ensemble,GREEDY,123,0.56726956,0.020040762
GB1,AA,Boosting Ensemble,GREEDY,124,0.57454073,0.01946463
GB1,AA,Boosting Ensemble,GREEDY,125,0.5782149,0.019200139
GB1,AA,Boosting Ensemble,GREEDY,126,0.582757,0.019203156
GB1,AA,Boosting Ensemble,GREEDY,127,0.584162,0.019031875
GB1,AA,Boosting Ensemble,GREEDY,128,0.58667964,0.018823994
GB1,AA,Boosting Ensemble,GREEDY,129,0.59692794,0.020404665
GB1,AA,Boosting Ensemble,GREEDY,130,0.60077417,0.020494694
GB1,AA,Boosting Ensemble,GREEDY,131,0.6053773,0.019875621
GB1,AA,Boosting Ensemble,GREEDY,132,0.6053773,0.019875621
GB1,AA,Boosting Ensemble,GREEDY,133,0.60602987,0.019828154
GB1,AA,Boosting Ensemble,GREEDY,134,0.6066892,0.019925114
GB1,AA,Boosting Ensemble,GREEDY,135,0.6077733,0.019699221
GB1,AA,Boosting Ensemble,GREEDY,136,0.6077733,0.019699221
GB1,AA,Boosting Ensemble,GREEDY,137,0.6077733,0.019699221
GB1,AA,Boosting Ensemble,GREEDY,138,0.6105149,0.019506743
GB1,AA,Boosting Ensemble,GREEDY,139,0.61134934,0.019536342
GB1,AA,Boosting Ensemble,GREEDY,140,0.6118009,0.019526098
GB1,AA,Boosting Ensemble,GREEDY,141,0.6120472,0.019524911
GB1,AA,Boosting Ensemble,GREEDY,142,0.61452985,0.019730201
GB1,AA,Boosting Ensemble,GREEDY,143,0.61794555,0.01986592
GB1,AA,Boosting Ensemble,GREEDY,144,0.6209124,0.019372903
GB1,AA,Boosting Ensemble,GREEDY,145,0.6220974,0.019358981
GB1,AA,Boosting Ensemble,GREEDY,146,0.6267174,0.01939585
GB1,AA,Boosting Ensemble,GREEDY,147,0.6270642,0.019355588
GB1,AA,Boosting Ensemble,GREEDY,148,0.6270642,0.019355588
GB1,AA,Boosting Ensemble,GREEDY,149,0.630196,0.019642448
GB1,AA,Boosting Ensemble,GREEDY,150,0.6303381,0.01960208
GB1,AA,Boosting Ensemble,GREEDY,151,0.6331605,0.019118063
GB1,AA,Boosting Ensemble,GREEDY,152,0.6331605,0.019118063
GB1,AA,Boosting Ensemble,GREEDY,153,0.6359291,0.018976977
GB1,AA,Boosting Ensemble,GREEDY,154,0.6372433,0.01901074
GB1,AA,Boosting Ensemble,GREEDY,155,0.6386068,0.019036597
GB1,AA,Boosting Ensemble,GREEDY,156,0.6394498,0.01889406
GB1,AA,Boosting Ensemble,GREEDY,157,0.6394498,0.01889406
GB1,AA,Boosting Ensemble,GREEDY,158,0.63959575,0.018881453
GB1,AA,Boosting Ensemble,GREEDY,159,0.63959575,0.018881453
GB1,AA,Boosting Ensemble,GREEDY,160,0.63959575,0.018881453
GB1,AA,Boosting Ensemble,GREEDY,161,0.6412915,0.018741785
GB1,AA,Boosting Ensemble,GREEDY,162,0.6412915,0.018741785
GB1,AA,Boosting Ensemble,GREEDY,163,0.6412915,0.018741785
GB1,AA,Boosting Ensemble,GREEDY,164,0.64511406,0.019363489
GB1,AA,Boosting Ensemble,GREEDY,165,0.64511406,0.019363489
GB1,AA,Boosting Ensemble,GREEDY,166,0.64511406,0.019363489
GB1,AA,Boosting Ensemble,GREEDY,167,0.64638746,0.019389888
GB1,AA,Boosting Ensemble,GREEDY,168,0.64981616,0.019417696
GB1,AA,Boosting Ensemble,GREEDY,169,0.6550374,0.019522782
GB1,AA,Boosting Ensemble,GREEDY,170,0.65906227,0.019477105
GB1,AA,Boosting Ensemble,GREEDY,171,0.65906227,0.019477105
