Protein,Encoding,Model,Acquisition,Timestep,Mean,Std
GB1,AA,Boosting Ensemble,GREEDY,466,0.6633490394041782,0.019168464216547672
GB1,AA,Boosting Ensemble,GREEDY,467,0.6640468941465701,0.019129341800075653
GB1,AA,Boosting Ensemble,GREEDY,468,0.6643736625011162,0.019116561569846903
GB1,AA,Boosting Ensemble,GREEDY,469,0.6643736625011162,0.019116561569846903
GB1,AA,Boosting Ensemble,GREEDY,470,0.6651342927512481,0.019043663408373077
GB1,AA,Boosting Ensemble,GREEDY,471,0.6668917121955642,0.018910917275976536
GB1,AA,Boosting Ensemble,GREEDY,472,0.6677161641130136,0.018830826170097983
GB1,AA,Boosting Ensemble,GREEDY,473,0.6706193487487591,0.01933620973761477
GB1,AA,Boosting Ensemble,GREEDY,474,0.6706193487487591,0.01933620973761477
GB1,AA,Boosting Ensemble,GREEDY,475,0.6706193487487591,0.01933620973761477
GB1,AA,Boosting Ensemble,GREEDY,476,0.6706193487487591,0.01933620973761477
GB1,AA,Boosting Ensemble,GREEDY,477,0.6706193487487591,0.01933620973761477
GB1,AA,Boosting Ensemble,GREEDY,478,0.6706193487487591,0.01933620973761477
GB1,AA,Boosting Ensemble,GREEDY,479,0.6706193487487591,0.01933620973761477
GB1,AA,Boosting Ensemble,GREEDY,480,0.672286856430994,0.018985725372073454
GB1,AA,Boosting Ensemble,GREEDY,481,0.6873105159331938,0.019844244210294494
GB1,AA,Boosting Ensemble,GREEDY,482,0.695078110316274,0.020257367581914158
GB1,AA,Boosting Ensemble,GREEDY,483,0.6995660681250091,0.01978397033472929
GB1,AA,Boosting Ensemble,GREEDY,484,0.7062909396695507,0.019755577147213974
GB1,AA,Boosting Ensemble,GREEDY,485,0.7131187586290562,0.019295339221427878
GB1,AA,Boosting Ensemble,GREEDY,486,0.7133999929739705,0.019266897513765383
GB1,AA,Boosting Ensemble,GREEDY,487,0.7206866870878319,0.019032412367096456
GB1,AA,Boosting Ensemble,GREEDY,488,0.7218283841852509,0.019114604926883907
GB1,AA,Boosting Ensemble,GREEDY,489,0.7221378637740821,0.019081189829840115
GB1,AA,Boosting Ensemble,GREEDY,490,0.7266634260084279,0.019241736485677438
GB1,AA,Boosting Ensemble,GREEDY,491,0.7292924704233252,0.018863748530930858
GB1,AA,Boosting Ensemble,GREEDY,492,0.7318187575893285,0.01880456113532044
GB1,AA,Boosting Ensemble,GREEDY,493,0.7323874805378652,0.018763755798020774
